Up to date,Starred,Name,Test case,longitud extra pontones [mm],angulo tras [°],angulo del [°],Pressure Drop [Pa],Max. Velocity [m/s],Y Force 2 [N],Z Force 3 [N]
Solved,False,DV131,,3,3,"1,99999999999978","360,93017578125","84,3877182006836","4,93698215484619","0,491257816553116"
Solved,False,DV132,,3,3,"3,0000000000002","364,575439453125","83,8711929321289","4,99935150146484","0,614781975746155"
Solved,False,DV133,,3,3,"4,00000000000007","363,584228515625","83,5739288330078","4,78562307357788","0,766801476478577"
Solved,False,DV134,,3,3,"5,00000000000027","344,3408203125","86,7705764770508","4,7585277557373","1,52709972858429"
Solved,False,DV135,,3,"4,00000000000025",0,"372,860107421875","87,195182800293","5,12855005264282","0,492704063653946"
Solved,False,DV136,,3,4,"0,999999999999994","383,17529296875","87,2708892822266","5,14737558364868","-0,140784665942192"
Solved,False,DV137,,3,4,"1,99999999999999","373,53271484375","87,1266632080078","5,05475902557373","-0,00981135573238134"
Solved,False,DV138,,3,4,"2,99999999999978","380,83154296875","87,4434814453125","5,16697072982788","0,0938705429434776"
Solved,False,DV139,,3,4,"4,00000000000023","377,59130859375","87,0131759643555","4,98322629928589","0,248055756092072"
Solved,False,DV140,,3,4,"4,99999999999974","351,74658203125","87,364372253418","4,87178802490234","0,902363896369934"
Solved,False,DV141,,3,"4,9999999999998","1,30402741940004E-13","369,6875","89,1868209838867","5,09788417816162","0,64717835187912"
Solved,False,DV142,,3,5,"1,00000000000005","383,68603515625","85,1739196777344","5,13913202285767","0,241808727383614"
Solved,False,DV143,,3,5,"2,00000000000005","376,46435546875","84,3603591918945","5,04739236831665","0,232072606682777"
Solved,False,DV144,,3,5,"2,99999999999999","376,739990234375","84,9938201904297","5,11415243148804","0,27976581454277"
Solved,False,DV145,,3,5,"3,99999999999981","375,999267578125","84,0982894897461","4,95627737045288","0,538101732730865"
Solved,False,DV146,,3,5,"5,00000000000001","356,10546875","88,3702392578125","4,88448333740234","1,03239870071411"
Solved,False,DV147,,4,0,"2,36156185098666E-13","352,92822265625","84,7677612304688","4,84270429611206","1,54135239124298"
Solved,False,DV148,,4,0,"0,999999999999888","354,83642578125","85,3858413696289","4,74634647369385","0,973406076431274"
Solved,False,DV149,,4,0,"1,99999999999984","349,22900390625","84,2839202880859","4,67163562774658","0,933243691921234"
Solved,False,DV150,,4,0,"2,99999999999999","361,498046875","84,3686981201172","4,79427671432495","1,17746531963348"
Solved,False,DV151,,4,0,"4,00000000000018","353,468994140625","83,7943344116211","4,77757978439331","1,30783367156982"
Solved,False,DV152,,4,0,"4,9999999999998","341,43994140625","88,0180587768555","4,7121262550354","1,91547906398773"
Solved,False,DV153,,4,"1,00000000000007","7,71284510254903E-14","347,46044921875","84,6110534667969","4,71680498123169","1,34923958778381"
Solved,False,DV154,,4,1,"1,0000000000001","351,576904296875","85,3121109008789","4,68864107131958","1,05046117305756"
Solved,False,DV155,,4,1,"1,99999999999999","348,1015625","84,4892120361328","4,68147277832031","0,96507602930069"
